ID,Title,Journal,DOI,included,data_state,primary_available,primary_how,secondary_available,secondary_source,secondary_how,can_access_data,analysis_state,analysis_tool,analysis_available,analysis_how,can_access_analysis
219,Eco-efficiency of farms considering multiple functions of agriculture: Concept and results from Austrian farms,Journal of Cleaner Production,10.1016/j.jclepro.2021.126662,"Yes, process-based environmental LCA on a defined functional unit","The data for step (2), the LCI, were derived from a national research project in which a life cycle assessment of Austrian farms was performed (Herndl et al., 2015). For general information on farm inputs and farm outputs, see Table A1 and Table A2 in Appendix A.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,various sources,NA,NA,"The LCIA was computed with SimaPro 9 Developer software (Pré Consultants, 2019).",SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
220,Integrating long term temporal changes in the Belgian electricity mix in environmental attributional life cycle assessment of buildings,Journal of Cleaner Production,10.1016/j.jclepro.2021.126624,"Yes, process-based environmental LCA on a defined functional unit","The full inventory can be found in Supplementary Materials. ... Static scenario: The static (baseline) scenario represents the common approach for electricity use modelling in LCA studies of buildings, i.e. the current electricity mix. For this scenario, the Ecoinvent version 3.6 market mix record for Belgium (‘market for electricity, low voltage’) (Treyer, n.d.) is used without any changes.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.6,NA,NA,The SimaPro software is used for the calculations with Ecoinvent v.3.6 datasets. ,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
221,Cleaner production of salt-tolerance vegetable in coastal saline soils using reclaimed water irrigation: Observations from alleviated accumulation of endocrine disrupting chemicals and environmental burden,Journal of Cleaner Production,10.1016/j.jclepro.2021.126746,"Yes, process-based environmental LCA on a defined functional unit",The life cycle inventories (LCI) mainly included irrigation and transportation. The LCI data were linked to the corresponding library of Simapro 7.1. ,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent?,NA,NA,Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
222,The circularity of potential bio-textile production routes: Comparing life cycle impacts of bio-based materials used within the manufacturing of selected leather substitutes,Journal of Cleaner Production,10.1016/j.jclepro.2020.125470,"Yes, process-based environmental LCA on a defined functional unit","Table 6. Unit processes of the life cycle impacts assessment (LCIA) model, and datasets used for LCIA modeling and their references. ...    LCIA modeling is conducted using the Software GaBi 6 based on the datasets of GaBi database Professional + ecoinvent integrated, the results of researchers from the UFZ Department of Bioenergy, and our own inventory processes modeled according to the systems analysis.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.4; GaBi,"Direct presentation in the article (e.g., tables)",NA,Refer to data availability statement,Gabi,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
223,Life cycle assessment of an ecological living module equipped with conventional rooftop or integrated concentrating photovoltaics,Journal of Industrial Ecology,10.1111/jiec.13129,"Yes, process-based environmental LCA on a defined functional unit","all background processes (i.e., those for the supply chains of glass, steel, aluminium, and all the other material and energy inputs required by the analyzed systems at the foreground level) were modelled per the life-cycle inventory (LCI) information provided in Ecoinvent (Wernet et al., 2016).  ...  This supporting information S1 provides the foreground inventories for the production of the ELM (Table S1.1) and of the ICSF system (Table S1.2), a discussion of the energy and environmental provide of the BAPV and ICSF sub-systems on their own, a supplementary discussion of the EML use-phase energy model, and 5 supplementary figures (Figures S1.1– S1.5)  ...  Supporting Information S2: This supporting information S2 provides the underlying data used to create the figures in the main article.","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.5,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",N/A,N/A,"No, no analysis script availability statement. ",NA,NA
224,Comparative environmental life cycle assessment of alternative osmotic and mixing dilution desalination system configurations,Desalination,10.1016/j.desal.2021.114963,"Yes, process-based environmental LCA on a defined functional unit","The input and output data were entered into the LCA software “Simapro Version 8” [34] to calculate the environmental impact. The Ecoinvent emission database v3.1 was used for the upstream and downstream process such as energy flow and material (input from technosphere). The relative flow rates and related design parameters of all scenarios are summarised in Table 1.  ...  Table S 1: Operational phase of life cycle inventories (LCI) for Standalone RO, hybrid FO-RO and UF-RO for producing 1 m3 (unit process) desalinated water","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.1,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
225,"Life Cycle Assessment for Chrome Tanning, Chrome-Free Metal Tanning, and Metal-Free Tanning Systems",ACS Sustainable Chemistry and Engineering,10.1021/acssuschemeng.1c00753,"Yes, process-based environmental LCA on a defined functional unit","The background data including steam (0.7 MPa, 170 °C), average electricity, natural gas, industrial tap water, and most of the chemical material productions were derived from the CLCD-China-ECER 0.8.1 database as shown in Table S7. The background data of glucose, starch, zirconium sulfate, sodium alginate, glycol, and sodium formate productions were derived from the Ecoinvent 3.1.0 database. The background data of dicyandiamide resin and sodium chloride productions were derived from the Ecoinvent-Public 2.2.0 database and the ELCD 3.0.0 database, ","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent; CLCD; ELCD ,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",The three tanning agent preparation processes and corresponding tanning systems were modeled using eFootprint software in accordance with ISO standards,efootprint,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
226,Comparative life cycle assessment of three alternative techniques for increasing potable water supply in cities in the Global South,Journal of Cleaner Production,10.1016/j.jclepro.2021.125871,"Yes, process-based environmental LCA on a defined functional unit","2.2. Inventory analysis   Table S7-2 Final inventories for each rainwater harvesting systems of the study (results per 1,000 m3 added to the drinking water distribution network).  ...   SI-3 Ecoinvent process correspondence   Table S8-3 shows the correspondence of the Ecoinvent version 3.5 (Wernet et al. 2016) with those found in the inventory analysis.    The openLCA version 1.10 software (GreenDelta GmbH, 2017) was used for LCA modelling and estimating the impacts. The Ecoinvent database version 3.5 (Wernet et al., 2016) was used as the background process (see SI-3).","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.5,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",Refer to data availability statement,openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
227,Toward waste valorization by converting bioethanol production residues into nanoparticles and nanocomposite films,Sustainable Materials and Technologies,10.1016/j.susmat.2021.e00269,"Yes, process-based environmental LCA on a defined functional unit","The primary data for building the life cycle inventory (LCI) data are collected from the experiment data in this study. Secondary data, such as electricity and solvent production are based on a dataset provided in the ecoinvent v3.5 database [100]. The CNF production data is based on Arvidsson et al. [83] The detailed process data, LCI datasets and emission factors are available in Table S6 and Table S7. The modelling and calculation are performed with the SimaPro software version 9.1.","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.5,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
228,Reprocessing vs direct disposal of used nuclear fuels: The environmental impacts of future scenarios for the UK,Sustainable Materials and Technologies,10.1016/j.susmat.2021.e00278,"Yes, process-based environmental LCA on a defined functional unit","Primary data, including process-specific operational or design data, have been used for the foreground system, whilst secondary data from the Ecoinvent database v3.3. have been used for the background system.","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – only mentioning the sources of secondary database,Ecoinvent v3.3,NA,"Yes, can access, download, and open the file. ",The environmental impacts of the product system described in Section 2 were calculated with Gabi sustainability software version 8,Gabi,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
229,Environmental performance of miscanthus-lime lightweight concrete using life cycle assessment: Application in external wall assemblies,Sustainable Materials and Technologies,10.1016/j.susmat.2021.e00253,"Yes, process-based environmental LCA on a defined functional unit",2.2. Inventory method and data collection,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.1,NA,NA,The software OpenLCA v1.7.4 developed by GreenDelta was used in conjunction with Ecoinvent 3_1 database. ,openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
230,Comparative cradle-to-grave life cycle assessment of low and mid-rise mass timber buildings with equivalent structural steel alternatives,Sustainability (Switzerland),10.3390/su13063401,"Yes, process-based environmental LCA on a defined functional unit","""Data Availability Statement   Data presented in this study is available on request from the authors. ""   ... The TRACI methodology was followed to conduct a Life Cycle Impact Assessment (LCIA) analysis that translates building quantities to environmental impact indicators using the Athena Impact Estimator for Buildings Life Cycle analysis software tool and Athena’s Life Cycle Inventory database","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Other, note in comment box",Athena,NA,NA,Refer to data availability statement,Athena,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
231,Assessment of water quality variations on pretreatment and environmental impacts of SWRO desalination,Desalination,10.1016/j.desal.2020.114831,"Yes, process-based environmental LCA on a defined functional unit",2.3. Life cycle inventory   The electricity grid mix and impacts from transportation of the chemicals were taken from the ThinkStep GaBi® databases.  ,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Gabi,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",The life cycle impact assessment was conducted for mid-point using ThinkStep's GaBi® platform based on the CML 2001,Gabi,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
232,Analyzing the environmental impact of copper-based mixed waste recycling-a LCA case study in China,Journal of Cleaner Production,10.1016/j.jclepro.2020.125256,"Yes, process-based environmental LCA on a defined functional unit","The LCA software GaBi 9.0 links the direct raw materials used to the corresponding production processes and the emissions to be treated in the process of establishing a complete life cycle inventory. The physical inputs and outputs of the inventory should be balanced. Table 1, Table 2, Table 3, Table 4, Table 5, Table 6 are the material input and output tables of each process.   ....   The background data on the environmental impacts of various feedstocks and emissions have been obtained from the GaBi database","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Gabi,NA,NA,Refer to data availability statement,Gabi,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
233,Ratoon rice production in central China: Environmental sustainability and food production,Science of the Total Environment,10.1016/j.scitotenv.2020.142850,"Yes, process-based environmental LCA on a defined functional unit","The input data and the yields of RR systems are reported in Table 1. …   Data on resource use associated with the production of rice seed, fertilizers, pesticides, diesel fuel and electricity were calculated from the consumption of primary energy factors in China (Yuan and Peng, 2017; Wu et al., 2017). The emission inventories of the production of these inputs were obtained from Liang (2009), which has compiled the inventory of the common agricultural inputs in China (Wu et al., 2017; He et al., 2018).","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,various sources,NA,NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
234,Life cycle assessment (Lca) of an innovative compact hybrid electrical-thermal storage system for residential buildings in mediterranean climate,Sustainability (Switzerland),10.3390/su13095322,"Yes, process-based environmental LCA on a defined functional unit","The data presented in this study are openly available in DataverseCat repository (https://dataverse.csuc.cat/, accessed on 15 April 2021) at doi:10.34810/data45.","Yes, primary LCI data (or some of the data) are available   ","An online third party repository (e.g., OSF, github, Rstudio etc.)        ",Yes – only mentioning the sources of secondary database,Ecoinvent,NA,"Yes, can access, download, and open the file. ",N/A,N/A,"No, no analysis script availability statement. ",NA,NA
235,Innovative recycling or extended use? Comparing the global warming potential of different ownership and end-of-life scenarios for textiles,Environmental Research Letters,10.1088/1748-9326/abfac3,"Yes, process-based environmental LCA on a defined functional unit",""" Data availability statement  The data that support the findings of this study are available upon reasonable request from the authors. ""  A detailed list of the processes from the GaBi database that have been used for modeling are presented in appendix 1 and all key parameters used in modeling are presented in appendix 2. ","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Gabi,"Direct presentation in the article (e.g., tables)",NA,Refer to data availability statement,Gabi,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
236,Life cycle assessment of plastic grocery bags and their alternatives in cities with confined waste management structure: A Singapore case study,Journal of Cleaner Production,10.1016/j.jclepro.2020.123956,"Yes, process-based environmental LCA on a defined functional unit",Table 2. Life cycle inventory data for different life cycle stages of the grocery bag.,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.5,"Direct presentation in the article (e.g., tables)",NA,GaBi 6 LCA software equipped with ecoinvent 3.5 database is used for the assessment.,Gabi,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
237,Life cycle greenhouse gas emissions of aluminum based on regional industrial transfer in China,Journal of Industrial Ecology,10.1111/jiec.13146,"Yes, process-based environmental LCA on a defined functional unit","The LCA model of bauxite mining, alumina extraction, and anode production was based on the national average power grid (Table S1-1 in Supporting Information S1), while the model of electrolysis and ingot casting was based on the provincial levels. …  The raw data for ingot casting stage are shown in Table S1-4 in Supporting Information S1.   ...  The background data were mainly derived from the Chinese localization LCA database CAS RCEES 2018, which was established by the Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences and covers LCA data for energy, materials, transportation, waste management etc. The sources of data are shown in Table 1. ","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",various sources,"Direct presentation in the article (e.g., tables)","Yes, can access, download, and open the file. ",N/A,N/A,"No, no analysis script availability statement. ",NA,NA
238,Life cycle assessment of a biogas system for cassava processing in Brazil to close the loop in the water-waste-energy-food nexus,Journal of Cleaner Production,10.1016/j.jclepro.2021.126861,"Yes, process-based environmental LCA on a defined functional unit","Table 2. Life cycle inventory of the WWEF system. …  The characterization factors are collected for inputs and outputs of the system for each scenario (see Table A 2). These factors are sourced from the Ecoinvent v3.5 (Goedkoop et al., 2009) and the ReCiPe v1.13 (Wernet et al., 2016).","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.5,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",N/A,N/A,"No, no analysis script availability statement. ",NA,NA
239,A comparative environmental life cycle assessment between a condensing boiler and a gas driven absorption heat pump,Science of the Total Environment,10.1016/j.scitotenv.2020.144392,"Yes, process-based environmental LCA on a defined functional unit","3. Life cycle inventory analysis   …  Other data concerning the manufacturing processes, transport in input and outputs, packaging, and end-of-life scenarios were collected based on different publications (Butera et al., 2015; Emmenegger et al., 2012; Kemna et al., 2019; Wernet et al., 2016). The details of the different activity data used for the evaluation are listed in Table 3. Whereas the reference background database was Ecoinvent 3.6 (Wernet et al., 2016). ","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.6,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",The uncertainties analysis was executed through the software SimaPro 9.1.08,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
240,Environmental assessment of upgrading horticultural side streams—The case of unharvested broccoli leaves,Sustainability (Switzerland),10.3390/su13105327,"Yes, process-based environmental LCA on a defined functional unit",N/A (only descriptive text under 2.1. Life Cycle Inventory for ALCA and 2.2. Life Cycle Inventory for CLCA),"No, there is no data availability statement.  ",NA,Yes – only mentioning the sources of secondary database,Ecoinvent ,NA,NA,"For modelling the system, the software OpenLCA, including the database Ecoinvent 3, was used",openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
241,Manufacturing sustainability: Institutional theory and life cycle thinking,Journal of Cleaner Production,10.1016/j.jclepro.2021.126787,"Yes, process-based environmental LCA on a defined functional unit","This research has attempted to capture as much data relating to the production processes from primary sources. Where primary data was not obtained, secondary datasets were used (e.g. ECOINVENT), which utilises sectorial, national or regional averages. ","No, there is no data availability statement.  ",NA,Yes – only mentioning the sources of secondary database,Ecoinvent v3.5,NA,NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
242,Eco-design of spirulina solar cultivation: Key aspects to reduce environmental impacts using Life Cycle Assessment,Journal of Cleaner Production,10.1016/j.jclepro.2021.126741,"Yes, process-based environmental LCA on a defined functional unit","The inventory of the foreground system has been divided into 3 sub-inventories: Process, Cleaning and Infrastructure. Full details of inventory data and models are provided in the Supplementary Data (§III, Table S 4 to Table S12). …  ","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.3,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",N/A,N/A,"No, no analysis script availability statement. ",NA,NA
243,Quantifying environmental impacts of cleaner fish used as sea lice treatments in salmon aquaculture with life cycle assessment,Journal of Industrial Ecology,10.1111/jiec.13118,"Yes, process-based environmental LCA on a defined functional unit","We completed the model using Ecoinvent v3.5 (allocation, cut-off by classification), Agri-footprint v4.0 (using mass allocation), and AGRIBALYSE v1.3 (based on Ecoinvent cut-off system) LCA databases, as well as a range of assumptions. Foreground allocation based on biomass and time were conducted in VC3, focusing on the boat's construction materials and antifouling paint. A detailed description of sources, inputs, outputs, allocations and assumptions are available in the supporting information uploaded in a Zenodo repository (Philis et al., 2021). Table 1 gives an overview of the primary data collection used to model the three cleaner fish value chains and BLT.  ...  TABLE 2. VC1-3 input and output required and generated per ton of cleaner fish used (i.e., farmed/fished, distributed, and used). More detailed inventories are available in the data repository files “SI Lumpfish Aquaculture”, “SI Wrasse Aquaculture”, “SI Wrasse Fisheries” https://doi.org/10.5281/zenodo.4121847","Yes, primary LCI data (or some of the data) are available   ","An online third party repository (e.g., OSF, github, Rstudio etc.)        ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.5; Agri-footprint; AGRIBALYSE,"An online third party repository (e.g., OSF, github, Rstudio etc.)    ","Yes, can access, download, and open the file. ",The LCA calculations were conducted in Excel and SimaPro v9.,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
244,Integrated multidimensional sustainability assessment of energy system transformation pathways,Sustainability (Switzerland),10.3390/su13095217,"Yes, process-based environmental LCA on a defined functional unit","""Supplementary Materials. The following are available online at https://www.mdpi.com/article/10.3390/su13095217/s1: InNOSys—an integrated approach for the sustainability assessment of transformation pathways—supplement.docx."" Statement: ""More information and data can be found under https://www.innosys-projekt.de, accessed on 6 May 2021."" In Methods: The original LCI data sets in the data base are subject to several manipulations in FRITS. …","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",FRITS database (based on Ecoinvent v3.3),A personal or institutional webpage     ,"Yes, can access, download, and open the file. ","The life cycle-based assessment of ecological impacts was performed using the Framework for the Assessment of Environmental Impacts of Transformation Scenarios (FRITS) [15]. FRITS is a Python-based tool that couples results from energy system models (ESM) with a life cycle inventory (LCI) database. It calculates a broad set of life cycle-based environmental impacts for entire transformation scenarios, while widely assuring consistency between ESM and LCI assumptions.",FRITS,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
245,"Analysing water-energy-GHG nexus in a wastewater treatment plant of Mumbai Metropolitan Region, India",Environmental Research,10.1016/j.envres.2021.110931,"Yes, process-based environmental LCA on a defined functional unit","Energy index related to COD removal (EIr) was estimated as per the method suggested by Niu et al. (2019).  … GHG emissions from operations involving electricity (GHGop) were estimated using average energy consumed (kWh/m3) and weighted average emission factor of 0.82 tCO2/MWh from all stations in Indian grid (CEA 2018). Emission factors for building materials and chemicals to estimate GHG emissions were adopted from published literature (Singh and Kansal, 2018; Zhang et al., 2019; Yeo et al., 2016).  ","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",various sources,"Direct presentation in the article (e.g., tables)",NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
246,Assessing the environmental impacts of wind-based hydrogen production in the Netherlands using ex-ante LCA and scenarios analysis,Journal of Cleaner Production,10.1016/j.jclepro.2021.126866,"Yes, process-based environmental LCA on a defined functional unit","Full reference to the inventory (LCI) data used is available in the Supplementary Information.  … LCA models were developed using the OpenLCA software (GreenDelta, 2018) and the ecoinvent 3.4 (ecoinvent, 2018) database for background processes. ","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.4,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",Refer to data availability statement,openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
247,Plastic (PET) vs bioplastic (PLA) or refillable aluminium bottles – What is the most sustainable choice for drinking water? A life-cycle (LCA) analysis,Environmental Research,10.1016/j.envres.2021.110974,"Yes, process-based environmental LCA on a defined functional unit","Table 1. Life cycle inventory (LCI) of data for the production of 1 PET bottle of 500 ml of capacity, including primary and secondary data.   …  Table 3. Life cycle inventory (LCI) of data for the production of 1 aluminium bottle of 750 ml of capacity, including primary and secondary data.   ""Unit process @ OpenLCA"" ","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent,"Direct presentation in the article (e.g., tables)",NA,"the open-source package OpenLCA™ v.1.8 (GreenDelta, Berlin, Germany) were used.",openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
248,A life cycle assessment of energy recovery using briquette from wastewater grown microalgae biomass,Journal of Environmental Management,10.1016/j.jenvman.2021.112171,"Yes, process-based environmental LCA on a defined functional unit",Table 1. Process systems and input data for LCIs of the modeled scenarios. ,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.5,"Direct presentation in the article (e.g., tables)",NA, were carried out in SimaPro v9,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
249,Are eucalyptus harvest residues a truly burden-free biomass source for bioenergy? A deeper look into biorefinery process design and Life Cycle Assessment,Journal of Cleaner Production,10.1016/j.jclepro.2021.126956,"Yes, process-based environmental LCA on a defined functional unit","… All of these were described in the Life Cycle Inventory (LCI) with foreground data. The main source for background data was EcoInvent 3.5 (Wernet et al., 2016), incorporated in SimaPro 9.0.","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.5,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
250,"Environmental assessment of urine, black and grey water separation for resource recovery in a new district compared to centralized wastewater resources recovery plant",Journal of Cleaner Production,10.1016/j.jclepro.2021.126868,"Yes, process-based environmental LCA on a defined functional unit","The inventory has been built by using the mass and energy data obtained from the two previous steps: simulation results of collection and transport at district scale and with centralized facilities (step 1), simulation results of treatment processes (step 2).","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v2.2,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ","LCA Umberto software (input) was used, previously implemented by (Bisinella de Faria et al., 2015).",Umberto,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
251,Techno-economic assessment of calcium sulfoaluminate clinker production using elemental sulfur as raw material,Journal of Cleaner Production,10.1016/j.jclepro.2021.126888,"Yes, process-based environmental LCA on a defined functional unit",Emissions data from background processes (e.g. such as those related to the supply chain of raw materials and fuels) have been generally taken from ecoinvent 3.6. Database unless otherwise stated in section 2.3. ,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.6,NA,NA," Life cycle impact assessment (LCIA) has been performed using the LCIA results provided by the ecoinvent database (Wernet et al., 2016) for background processes, using our own MATLAB-programmed user interface (see Supplementary Material).",MATLAB,"Other, note in comment box",NA,NA
252,Life cycle assessment of molten carbonate fuel cell system for power plants,Journal of Cleaner Production,10.1016/j.jclepro.2021.126911,"Yes, process-based environmental LCA on a defined functional unit","The description for all data parameters, data types, and sources of the LCI databases (LCI DBs) used in this study are shown in Table 4.  …  Data were obtained from questionnaires and communication with process experts; where possible, on-site data were obtained as well. The data were supplemented by literature data and calculations","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v2; and various sources,"Direct presentation in the article (e.g., tables)",NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
253,Domestic hot water systems: Environmental performance from a life cycle assessment perspective,Sustainable Production and Consumption,10.1016/j.spc.2021.01.005,"Yes, process-based environmental LCA on a defined functional unit","The bill of materials and quantities of each component of the water heaters are given in Tables S1-S7 of the Supporting Material (SM). Data on the extraction and processing of raw materials were supplied by Ecoinvent database v3.4 (Wernet et al., 2016). ","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.4,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",with SimaPro 8.5.0 software. ,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
254,"Carbon footprints of omnivorous, vegetarian, and vegan diets based on traditional Turkish cuisine",Sustainable Production and Consumption,10.1016/j.spc.2020.12.027,"Yes, process-based environmental LCA on a defined functional unit","Table 2. Life cycle inventory for the omnivorous diet (weekly basis).  ...  Table 7. End-of-life treatment processes for the vegan diet   ...   All the processes that were written in the rightmost columns in Table 2, Table 3, Table 4 were directly taken from the CCaLC database. In a few cases where a particular ingredient was not found in the CCaLC database, the reference from which the carbon footprint of that particular ingredient was obtained has been written in the rightmost columns.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,CCaLC,"Direct presentation in the article (e.g., tables)",NA," In this study, CCaLC2 LCA software (ccalc.org.uk, 2020) was used to model the system and estimate the impacts according to the CML 2001 method",CCaLC,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
